,first_name,last_name,jersey_number,person_id,position_short,position_full,minutes,seconds,points,field_goals_made,field_goals_attempted,player_code,free_throws_made,free_throws_attempted,three_pointers_made,three_pointers_attempted,rebounds_offensive,rebounds_defensive,assists,fouls,steals,turnovers,team_turnovers,blocks,plus_minus,on_court,starting_position
0,Andrew,Wiggins,22,203952,F,Forward,25,44,12,5,10,andrew_wiggins,0,0,2,5,1,6,1,3,1,2,,0,-5,1,SF
1,Draymond,Green,23,203110,F,Forward,29,56,6,2,5,draymond_green,2,4,0,0,3,5,6,3,1,5,,0,-2,1,PF
2,Kevon,Looney,5,1626172,F,Forward,15,28,7,3,5,kevon_looney,1,2,0,0,2,2,1,0,1,1,,1,-8,0,C
3,Jordan,Poole,3,1629673,G,Guard,25,4,20,8,18,jordan_poole,0,1,4,11,0,2,3,2,1,2,,0,2,0,SG
4,Stephen,Curry,30,201939,G,Guard,36,11,21,5,21,stephen_curry,9,9,2,8,1,9,10,1,3,4,,0,4,1,PG
5,Nemanja,Bjelica,8,202357,F,Forward,25,55,15,6,7,nemanja_bjelica,2,2,1,1,2,9,4,2,1,1,,0,20,0,
6,Andre,Iguodala,9,2738,G-F,Guard-Forward,22,58,12,4,7,andre_iguodala,2,2,2,5,0,1,2,1,0,0,,1,8,1,
7,Damion,Lee,1,1627814,G-F,Guard-Forward,29,3,15,4,10,damion_lee,6,6,1,5,0,1,2,3,0,0,,0,9,1,
8,Juan,Toscano-Anderson,95,1629308,F,Forward,12,23,6,2,3,juan_toscano-anderson,1,2,1,2,0,3,1,1,0,1,,0,7,0,
9,Otto,Porter Jr.,32,203490,F,Forward,11,35,5,1,3,otto_porter jr.,2,2,1,2,0,1,0,2,1,1,,0,1,0,
10,Moses,Moody,4,1630541,G,Guard,5,34,2,1,3,moses_moody,0,0,0,0,0,2,0,0,0,0,,0,-1,0,
11,Gary,Payton II,0,1627780,G,Guard,0,7,0,0,1,gary_payton ii,0,0,0,0,0,0,0,0,0,0,,0,0,0,
12,Chris,Chiozza,2,1629185,G,Guard,0,0,0,0,0,chris_chiozza,0,0,0,0,0,0,0,0,0,0,,0,0,0,
13,Jeff,Dowtin,11,1630288,G,Guard,0,0,0,0,0,jeff_dowtin,0,0,0,0,0,0,0,0,0,0,,0,0,0,
14,Jonathan,Kuminga,00,1630228,F,Forward,0,0,0,0,0,jonathan_kuminga,0,0,0,0,0,0,0,0,0,0,,0,0,0,
15,Klay,Thompson,11,202691,G,Guard,0,0,0,0,0,klay_thompson,0,0,0,0,0,0,0,0,0,0,,0,0,0,
16,James,Wiseman,33,1630164,C,Center,0,0,0,0,0,james_wiseman,0,0,0,0,0,0,0,0,0,0,,0,0,0,
